1girl, 1 девушка
highres, высокие уровни
solo, сольный
long_hair, длинноволосый
breasts, груди
looking_at_viewer, смотрящий_на_просмотр
blush, румянец
smile, улыбка
open_mouth, открытый рот
short_hair, короткошерстный
simple_background, simple_background простой фон
shirt, рубашка
absurdres, абсурдры
blue_eyes, голубые глаза
large_breasts, большие груди_
long_sleeves, длинные рукава
skirt, юбка
blonde_hair, светлые волосы
multiple_girls, множественные девушки
black_hair, черные волосы
white_background, белый фон
brown_hair, каштановые волосы
hair_ornament, украшение для волос
1boy, 1 мальчик
holding, удерживание
gloves, перчатки
dress, платье
red_eyes, красные глаза
hat, шляпа
bow, лук
animal_ears, животные_еары
closed_mouth, закрытый рот
original, оригинал
thighhighs, бедра
hair_between_eyes, волосы между глазами
navel, пупок
ribbon, лента
jewelry, ювелирные украшения
2girls, 2 девушки
cleavage, расщепление
bare_shoulders, голые плечи
very_long_hair, очень длинные волосы
sitting, сидящий
jacket, куртка
twintails, два хвостика
standing, стоящий
touhou, тохоу
medium_breasts, средняя грудь
blue_hair, голубые волосы
green_eyes, зеленые глаза
brown_eyes, карие глаза
white_shirt, белая рубашка
nipples, соски
purple_eyes, фиолетовые глаза
full_body, полное тело
underwear, нижнее белье
school_uniform, школа_единая
collarbone, ключица
tail, хвост
upper_body, верхняя часть тела
male_focus, мужской фокус
closed_eyes, закрытые глаза
photoshop_(medium), фотошоп_(средний)
white_hair, белый_волосый
yellow_eyes, желтые глаза
pink_hair, розовые волосы
multicolored_hair, разноцветные волосы
grey_hair, седые волосы
swimsuit, купальник
ahoge, ахоге
panties, трусики
purple_hair, пурпурныеволосы
monochrome, монохромный
braid, оплетка
short_sleeves, короткие рукава
flower, цветок
sidelocks, боковые замки
hair_ribbon, заколка для волос_ribbon
ponytail, конский хвост
weapon, оружие
ass, задница
heart, сердце
thighs, бедра
earrings, серьги
cowboy_shot, выстрел ковбоя
translated, переведенный
:d, :d
hetero, гетеро
comic, комический
outdoors, на улице
hair_bow, бант для волос
translation_request, запрос на перевод
pantyhose, колготки
sweat, пот
red_hair, рыжеволосая
bikini, бикини
greyscale, оттенки серого
pleated_skirt, плиссированная юбка
kantai_collection, коллекция kantai_collection
frills, оборки
nude, обнаженный
open_clothes, открытая одежда
small_breasts, маленькие грудки
parted_lips, разделенные губы
teeth, зубы
hairband, лента для волос
multiple_boys, несколько мальчиков
horns, рога
censored, подвергаемый цензуре
boots, ботинки
collared_shirt, рубашка с воротником-стойкой
lying, лежащий
necktie, галстук
shorts, шорты
food, еда
wings, крылья
black_gloves, черные перчатки
sky, небо
one_eye_closed, один_глаз закрыт
alternate_costume, альтернативный костюм
sleeveless, без рукавов
detached_sleeves, отсоединенные рукава
pants, штаны
green_hair, зеленые волосы
shoes, туфли
penis, пенис
choker, ожерелье
japanese_clothes, японская одежда
virtual_youtuber, виртуальный ютубер
pointy_ears, заостренные уши
socks, носки
tongue, язык
medium_hair, средние волосы
artist_name, имя исполнителя
barefoot, босиком
glasses, очки
pussy, киска
indoors, в помещении
solo_focus, одиночный фокус
hand_up, передача в руки
puffy_sleeves, с пышными рукавами
black_thighhighs, черный_высокий
belt, пояс
day, день
hairclip, заколка для волос
official_alternate_costume, официальный альтернативный костюм
fate_(series), судьба(серия)
fang, клык
serafuku, серафуку
official_art, официальное искусство
elbow_gloves, перчатки для локтей
bowtie, галстук-бабочка
2boys, 2 мальчика
midriff, живот
white_gloves, белые перчатки
black_skirt, черная юбка
hood, капюшон
signature, подпись
cloud, облако
blunt_bangs, тупые удары
black_footwear, черная обувь
dark_skin, темная кожа
looking_back, оглядываясь назад
cat_ears, кошачьи уши
hair_flower, цветок для волос
tongue_out, высунутый язык
pink_eyes, розовые глаза
sailor_collar, матросский воротник
sword, меч
stomach, желудок
speech_bubble, речевой пузырь
sex, пол
white_dress, белое платье
twitter_username, имя пользователя twitter
pokemon, покемон
halo, ореол
looking_at_another, смотрю на другого
grey_background, серый фон
holding_weapon, удерживающее оружие
fingerless_gloves, перчатки без пальцев
miniskirt, мини-юбка
wide_sleeves, широкие рукава
spread_legs, растопыренные ножки
mole, родинка
on_back, на обратной стороне
cum, сперма
necklace, ожерелье
streaked_hair, пряди_волос
hair_over_one_eye, волосы над одним глазом
blue_archive, синий архив
hair_bun, пучок волос
3girls, 3 девушки
armpits, подмышки
chibi, чиби
off_shoulder, вне_плеча
open_jacket, открытая куртка
kimono, кимоно
nail_polish, лак для ногтей
two-tone_hair, двухцветные волосы
english_text, английский текст
fate/grand_order, судьба/грандиозный заказ
orange_hair, оранжевые волосы
star_(symbol), звезда_(символ)
striped_clothes, полосатая одежда
tears, слезы
black_dress, черное платье
grin, скалить зубы
black_jacket, черная куртка
from_behind, из-за спины
black_eyes, черные глаза
rabbit_ears, кроличьи уши
idolmaster, повелитель кумиров
sweatdrop, капля пота
blurry, размытый
bag, сумка
coat, пальто
water, вода
from_side, со стороны
genshin_impact, геншин_импакт
yuri, Юрий
hololive, хололив
vest, жилет
cape, мыс
white_thighhighs, белый_высокий
black_shirt, черная рубашка
armor, броня
scarf, шарф
red_bow, красный лук
huge_breasts, огромные груди
arm_up, поднятие руки
clothes_lift, подъемник для одежды
leotard, купальник
apron, фартук
character_name, имя персонажа
bra, бюстгальтер
feet, ноги
mosaic_censoring, мозаичная цензура
high_heels, высокие каблуки
sweater, свитер
vaginal, вагинальный
animal_ear_fluff, животный_ир_флюфф
blue_sky, голубой
crop_top, обрезка_топа
black_pantyhose, черная панталона
parted_bangs, разделенные полосы
bracelet, браслет
collar, воротник
arms_up, поднятие рук
:o, :o
dated, датированный
white_panties, белые трусики
completely_nude, полностью обнаженный
grey_eyes, серые глаза
cup, чашка
commission, комиссия
red_ribbon, ред_риббон
hands_up, раздача
twin_braids, косы-близнецы
fingernails, ногти на руках
looking_to_the_side, смотрю в сторону
dark-skinned_female, темнокожая женщина
side_ponytail, боковой хвостик
aqua_eyes, аква_глазки
puffy_short_sleeves, короткие рукава с пышными рукавами
v-shaped_eyebrows, v-образные брови
flat_chest, плоская грудь
blue_skirt, синяя юбка
two_side_up, два на стороне друг друга
neckerchief, шейный платок
orange_eyes, оранжевые глаза
eyelashes, ресницы
tree, дерево
symbol-shaped_pupils, точки в форме символов
multiple_views, множественные просмотры
chinese_commentary, китайский комментарий
sleeves_past_wrists, рукавы_пасты_руками
covered_nipples, покрытые соусами
fur_trim, меховая подстрижка
mole_under_eye, кротовый глаз
vocaloid, вокалоид
cat_tail, кошачий хвост
clothing_cutout, одежда с вырезом
strapless, без бретелек
hand_on_own_hip, передача из рук в руки
see-through_clothes, прозрачная одежда
black_choker, черный чокер
toes, пальцы ног
upper_teeth_only, только верхние_зубья
legs, ноги
wrist_cuffs, наручники на запястьях
v, v
feet_out_of_frame, ноги, выходящие из рамы
sketch, набросок
bar_censor, бар_цензор
sleeveless_shirt, рубашка без рукавов
sleeveless_dress, платье без рукавов
wet, мокрый
sparkle, сияние
loli, лоли
maid, прислуга
groin, пах
no_humans, нет_людей
fake_animal_ears, поддельные_животные_еары
pokemon_(creature), покемон(существо)
fox_ears, лисьи годы
torn_clothes, порванная одежда
gun, пушка
maid_headdress, головной убор горничной
pillow, подушка
thigh_strap, ремень для бедер
muscular, мускулистый
black_pants, черные брюки
short_shorts, короткие шорты
buttons, кнопки
gradient_background, градиент_бэкграунд
ascot, аскот
head_tilt, наклон головы
sash, орденская лента
lips, губы
bare_arms, обнаженные руки
book, книга
neck_ribbon, шейный гребешок
black_bow, черный лук
arknights, рыцари аркана
gradient_hair, градиентные волосы
cosplay, косплей
one-piece_swimsuit, цельнокроеный спортивный костюм
pubic_hair, лобковые волосы
border, граница
bare_legs, голые ноги
tattoo, татуировка
black_panties, черные трусики
zettai_ryouiki, зеттай_рюики
uncensored, без цензуры
plaid_clothes, клетчатая одежда
covered_navel, покрытый_навел
black_ribbon, черный гриб
hoodie, толстовка с капюшоном
window, окно
colored_skin, цветная кожа
detached_collar, отсоединенный воротник_collar
petals, лепестки
single_braid, одиночный_брайд
blurry_background, размытый фон
profile, профиль
azur_lane, азур_лейн
blood, кровь
kneehighs, высота коленей
floating_hair, плавающие волосы
double_bun, двойная булочка
shiny_skin, блестящая кожа
makeup, составить
mask, маска
facial_hair, уход за лицом и волосами
dress_shirt, платье -рубашка
pov, pov
black_shorts, черные шорты
idolmaster_cinderella_girls, мастер идолов_синдереллы_девочки
bodysuit, боди
blue_background, синий фон
hug, обнимать
aqua_hair, акваволосы
blue_dress, синее платье
swept_bangs, зачищенные полосы
horse_ears, лошадиные годы
dutch_angle, голландский угол
shadow, тень
expressionless, бесстрастный
bell, колокол
capelet, каплет
kneeling, стоящий на коленях
sideboob, боковая грудь
copyright_name, имя объекта авторского права_
turtleneck, водолазка с высоким воротом
umamusume, умамусуме
open_shirt, открытая рубашка
:3, :3
night, ночь
leaning_forward, наклоняясь вперед
anus, анус
blue_bow, синий лук
horse_girl, девушка-наездница
hair_intakes, захваты волос
heterochromia, гетерохромия
skindentation, удаление кожного покрова
saliva, слюна
black_bikini, черный_бикини
highleg, высокая нога
white_jacket, белая рубашка
low_twintails, нижние два хвоста
white_socks, белые носки
watermark, водяной знак
4girls, 4 девушки
red_skirt, красная юбка
scar, шрам
on_bed, на кровати
^_^, ^_^
brown_footwear, коричневая обувь
pussy_juice, кисельный сок
siblings, братья и сестры
fruit, фрукты
piercing, пронзающий
black_hat, черная шляпа
frown, нахмуриться
alternate_hairstyle, альтернативный стиль прически
holding_sword, сжимающий меч
bed, кровать
hatsune_miku, хацуне_мику
rose, роза
bird, птица
chinese_clothes, китайская одежда
nose_blush, румянец на носу
leaf, лист
one_side_up, one_side_up на одной стороне
fox_tail, лисий хвост
fangs, клыки
wavy_hair, волнистые волосы
soles, подошвы
chain, цепь
animal, животное
depth_of_field, глубина поля
playboy_bunny, плейбой-банни
md5_mismatch, совпадение md5_mismatch
blush_stickers, румяные_штикеры
beret, берет
cum_in_pussy, кончаю_в_ киску
no_bra, нет_бра
glowing, пылающий
halterneck, короткий вырез
thick_thighs, толстые бедра
white_footwear, белая обувь
military, военный
holding_hands, держащиеся за руки
ocean, океан
thick_eyebrows, густые брови
witch_hat, ведьмачья шляпа
underboob, нижняя часть груди
headband, повязка на голову
4koma, 4кома
muscular_male, мускулистый мужчина
blue_shirt, синяя рубашка
from_above, из_описанного выше
