---,Actor,Location,Rotation,Scale,Meshes
Row_0,/Script/CoreUObject.Class'/Script/Engine.PointLight',"(X=-1310.767637,Y=-771.438914,Z=400.551372)","(Pitch=-90.000000,Yaw=180.000000,Roll=180.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_1,/Script/CoreUObject.Class'/Script/Engine.PointLight',"(X=-1310.767623,Y=-268.037051,Z=400.551372)","(Pitch=-90.000000,Yaw=180.000000,Roll=180.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_2,/Script/CoreUObject.Class'/Script/Engine.PointLight',"(X=-1310.767605,Y=253.637821,Z=400.551372)","(Pitch=-90.000000,Yaw=180.000000,Roll=180.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_3,/Script/CoreUObject.Class'/Script/Engine.PointLight',"(X=-1310.767606,Y=778.879728,Z=400.551372)","(Pitch=-90.000000,Yaw=180.000000,Roll=180.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_4,/Script/CoreUObject.Class'/Script/Engine.PointLight',"(X=1295.841301,Y=-770.528688,Z=400.551388)","(Pitch=-90.000000,Yaw=180.000000,Roll=180.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_5,/Script/CoreUObject.Class'/Script/Engine.PointLight',"(X=1295.841315,Y=-267.126825,Z=400.551388)","(Pitch=-90.000000,Yaw=180.000000,Roll=180.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_6,/Script/CoreUObject.Class'/Script/Engine.PointLight',"(X=1295.841333,Y=254.548047,Z=400.551388)","(Pitch=-90.000000,Yaw=180.000000,Roll=180.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_7,/Script/CoreUObject.Class'/Script/Engine.PointLight',"(X=1295.841332,Y=779.789954,Z=400.551388)","(Pitch=-90.000000,Yaw=180.000000,Roll=180.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_8,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Demo/ModelBP/BP_PalCutsceneCamera.BP_PalCutsceneCamera_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_9,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Demo/ModelBP/BP_PalCutsceneCamera.BP_PalCutsceneCamera_C',"(X=0.000000,Y=440.000000,Z=210.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_10,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_Treasure_desert_01.BP_PalMapObjectSpawner_Treasure_desert_01_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_11,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_12,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_13,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_14,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
